"dt","AverageTemperature","country"
"2012-05-01",24.696,"Papua New Guinea"
"2012-06-01",23.972,"Papua New Guinea"
"2012-07-01",24.133,"Papua New Guinea"
"2012-08-01",24.138,"Papua New Guinea"
"2012-09-01",24.723,"Papua New Guinea"
"2012-10-01",25.058,"Papua New Guinea"
"2012-11-01",25.241,"Papua New Guinea"
"2012-12-01",25.735,"Papua New Guinea"
"2012-01-01",28.314,"Paraguay"
"2012-02-01",28.153,"Paraguay"
"2012-03-01",26.146,"Paraguay"
"2012-04-01",23.496,"Paraguay"
"2012-05-01",21.328,"Paraguay"
"2012-06-01",18.831,"Paraguay"
"2012-07-01",17.144,"Paraguay"
"2012-08-01",22.281,"Paraguay"
"2012-09-01",24.907,"Paraguay"
"2012-10-01",27.084,"Paraguay"
"2012-11-01",27.22,"Paraguay"
"2012-12-01",28.685,"Paraguay"
"2012-01-01",20.607,"Peru"
"2012-02-01",20.234,"Peru"
"2012-03-01",20.707,"Peru"
"2012-04-01",20.63,"Peru"
"2012-05-01",20.375,"Peru"
"2012-06-01",19.959,"Peru"
"2012-07-01",19.655,"Peru"
"2012-08-01",20.131,"Peru"
"2012-09-01",20.621,"Peru"
"2012-10-01",20.739,"Peru"
"2012-11-01",21.247,"Peru"
"2012-12-01",20.615,"Peru"
"2012-01-01",17.794,"Qatar"
"2012-02-01",18.734,"Qatar"
"2012-03-01",21.44,"Qatar"
"2012-04-01",27.423,"Qatar"
"2012-05-01",34.137,"Qatar"
"2012-06-01",36.163,"Qatar"
"2012-07-01",37.603,"Qatar"
"2012-08-01",37.017,"Qatar"
"2012-09-01",34.424,"Qatar"
"2012-10-01",30.878,"Qatar"
"2012-11-01",25.407,"Qatar"
"2012-12-01",20.794,"Qatar"
"2012-01-01",6.424,"San Marino"
"2012-02-01",3.447,"San Marino"
"2012-03-01",12.058,"San Marino"
"2012-04-01",12.847,"San Marino"
"2012-05-01",16.628,"San Marino"
"2012-06-01",22.18,"San Marino"
"2012-07-01",25.078,"San Marino"
"2012-08-01",25.792,"San Marino"
"2012-09-01",20.726,"San Marino"
"2012-10-01",16.897,"San Marino"
"2012-11-01",14.156,"San Marino"
"2012-12-01",7.702,"San Marino"
"2012-01-01",26.842,"Singapore"
"2012-02-01",26.955,"Singapore"
"2012-03-01",27.058,"Singapore"
"2012-04-01",27.278,"Singapore"
"2012-05-01",28,"Singapore"
"2012-06-01",28.372,"Singapore"
"2012-07-01",27.445,"Singapore"
"2012-08-01",27.556,"Singapore"
"2012-09-01",27.551,"Singapore"
"2012-10-01",27.192,"Singapore"
"2012-11-01",26.951,"Singapore"
"2012-12-01",26.443,"Singapore"
"2012-01-01",27.491,"Solomon Islands"
